rho_g,vx_g,vy_g,vz_g,ax_g,ay_g,az_g,z,zmin
0.000303444,0,0.000151722,0,-0.000303444,0,0,-4.025,-4.03
0.000315891,0,0.000157946,0,-0.000315891,0,0,-4.015,-4.02
0.000328816,0,0.000164408,0,-0.000328816,0,0,-4.005,-4.01
0.000342235,0,0.000171118,0,-0.000342235,0,0,-3.995,-4
0.000356166,0,0.000178083,0,-0.000356166,0,0,-3.985,-3.99
0.000370628,0,0.000185314,0,-0.000370628,0,0,-3.975,-3.98
0.000385638,0,0.000192819,0,-0.000385638,0,0,-3.965,-3.97
0.000401215,0,0.000200608,0,-0.000401215,0,0,-3.955,-3.96
0.00041738,0,0.00020869,0,-0.00041738,0,0,-3.945,-3.95
0.000434153,0,0.000217077,0,-0.000434153,0,0,-3.935,-3.94
0.000451555,0,0.000225778,0,-0.000451555,0,0,-3.925,-3.93
0.000469608,0,0.000234804,0,-0.000469608,0,0,-3.915,-3.92
0.000488333,0,0.000244167,0,-0.000488333,0,0,-3.905,-3.91
0.000507754,0,0.000253877,0,-0.000507754,0,0,-3.895,-3.9
0.000527895,0,0.000263948,0,-0.000527895,0,0,-3.885,-3.89
0.00054878,0,0.00027439,0,-0.00054878,0,0,-3.875,-3.88
0.000570434,0,0.000285217,0,-0.000570434,0,0,-3.865,-3.87
0.000592884,0,0.000296442,0,-0.000592884,0,0,-3.855,-3.86
0.000616155,0,0.000308077,0,-0.000616155,0,0,-3.845,-3.85
0.000640275,0,0.000320138,0,-0.000640275,0,0,-3.835,-3.84
0.000665273,0,0.000332637,0,-0.000665273,0,0,-3.825,-3.83
0.000691178,0,0.000345589,0,-0.000691178,0,0,-3.815,-3.82
0.00071802,0,0.00035901,0,-0.00071802,0,0,-3.805,-3.81
0.00074583,0,0.000372915,0,-0.00074583,0,0,-3.795,-3.8
0.00077464,0,0.00038732,0,-0.00077464,0,0,-3.785,-3.79
0.000804482,0,0.000402241,0,-0.000804482,0,0,-3.775,-3.78
0.000835389,0,0.000417695,0,-0.000835389,0,0,-3.765,-3.77
0.000867398,0,0.000433699,0,-0.000867398,0,0,-3.755,-3.76
0.000900543,0,0.000450272,0,-0.000900543,0,0,-3.745,-3.75
0.000934861,0,0.000467431,0,-0.000934861,0,0,-3.735,-3.74
0.00097039,0,0.000485195,0,-0.00097039,0,0,-3.725,-3.73
0.001007168,0,0.000503584,0,-0.001007168,0,0,-3.715,-3.72
0.001045236,0,0.000522618,0,-0.001045236,0,0,-3.705,-3.71
0.001084634,0,0.000542317,0,-0.001084634,0,0,-3.695,-3.7
0.001125405,0,0.000562702,0,-0.001125405,0,0,-3.685,-3.69
0.001167591,0,0.000583796,0,-0.001167591,0,0,-3.675,-3.68
0.001211238,0,0.000605619,0,-0.001211238,0,0,-3.665,-3.67
0.00125639,0,0.000628195,0,-0.00125639,0,0,-3.655,-3.66
0.001303096,0,0.000651548,0,-0.001303096,0,0,-3.645,-3.65
0.001351402,0,0.000675701,0,-0.001351402,0,0,-3.635,-3.64
0.001401359,0,0.00070068,0,-0.001401359,0,0,-3.625,-3.63
0.001453018,0,0.000726509,0,-0.001453018,0,0,-3.615,-3.62
0.00150643,0,0.000753215,0,-0.00150643,0,0,-3.605,-3.61
0.00156165,0,0.000780825,0,-0.00156165,0,0,-3.595,-3.6
0.001618731,0,0.000809366,0,-0.001618731,0,0,-3.585,-3.59
0.001677732,0,0.000838866,0,-0.001677732,0,0,-3.575,-3.58
0.001738709,0,0.000869354,0,-0.001738709,0,0,-3.565,-3.57
0.001801722,0,0.000900861,0,-0.001801722,0,0,-3.555,-3.56
0.001866832,0,0.000933416,0,-0.001866832,0,0,-3.545,-3.55
0.001934101,0,0.000967051,0,-0.001934101,0,0,-3.535,-3.54
0.002003594,0,0.001001797,0,-0.002003594,0,0,-3.525,-3.53
0.002075377,0,0.001037688,0,-0.002075377,0,0,-3.515,-3.52
0.002149516,0,0.001074758,0,-0.002149516,0,0,-3.505,-3.51
0.002226081,0,0.001113041,0,-0.002226081,0,0,-3.495,-3.5
0.002305143,0,0.001152572,0,-0.002305143,0,0,-3.485,-3.49
0.002386774,0,0.001193387,0,-0.002386774,0,0,-3.475,-3.48
0.002471049,0,0.001235525,0,-0.002471049,0,0,-3.465,-3.47
0.002558044,0,0.001279022,0,-0.002558044,0,0,-3.455,-3.46
0.002647836,0,0.001323918,0,-0.002647836,0,0,-3.445,-3.45
0.002740507,0,0.001370253,0,-0.002740507,0,0,-3.435,-3.44
0.002836137,0,0.001418068,0,-0.002836137,0,0,-3.425,-3.43
0.00293481,0,0.001467405,0,-0.00293481,0,0,-3.415,-3.42
0.003036613,0,0.001518307,0,-0.003036613,0,0,-3.405,-3.41
0.003141633,0,0.001570817,0,-0.003141633,0,0,-3.395,-3.4
0.00324996,0,0.00162498,0,-0.00324996,0,0,-3.385,-3.39
0.003361686,0,0.001680843,0,-0.003361686,0,0,-3.375,-3.38
0.003476906,0,0.001738453,0,-0.003476906,0,0,-3.365,-3.37
0.003595715,0,0.001797857,0,-0.003595715,0,0,-3.355,-3.36
0.003718212,0,0.001859106,0,-0.003718212,0,0,-3.345,-3.35
0.003844497,0,0.001922249,0,-0.003844497,0,0,-3.335,-3.34
0.003974674,0,0.001987337,0,-0.003974674,0,0,-3.325,-3.33
0.004108848,0,0.002054424,0,-0.004108848,0,0,-3.315,-3.32
0.004247127,0,0.002123564,0,-0.004247127,0,0,-3.305,-3.31
0.004389621,0,0.00219481,0,-0.004389621,0,0,-3.295,-3.3
0.004536441,0,0.00226822,0,-0.004536441,0,0,-3.285,-3.29
0.004687703,0,0.002343852,0,-0.004687703,0,0,-3.275,-3.28
0.004843525,0,0.002421763,0,-0.004843525,0,0,-3.265,-3.27
0.005004026,0,0.002502013,0,-0.005004026,0,0,-3.255,-3.26
0.005169328,0,0.002584664,0,-0.005169328,0,0,-3.245,-3.25
0.005339557,0,0.002669779,0,-0.005339557,0,0,-3.235,-3.24
0.005514841,0,0.00275742,0,-0.005514841,0,0,-3.225,-3.23
0.005695309,0,0.002847654,0,-0.005695309,0,0,-3.215,-3.22
0.005881094,0,0.002940547,0,-0.005881094,0,0,-3.205,-3.21
0.006072332,0,0.003036166,0,-0.006072332,0,0,-3.195,-3.2
0.006269163,0,0.003134581,0,-0.006269163,0,0,-3.185,-3.19
0.006471726,0,0.003235863,0,-0.006471726,0,0,-3.175,-3.18
0.006680166,0,0.003340083,0,-0.006680166,0,0,-3.165,-3.17
0.00689463,0,0.003447315,0,-0.00689463,0,0,-3.155,-3.16
0.007115267,0,0.003557634,0,-0.007115267,0,0,-3.145,-3.15
0.007342231,0,0.003671116,0,-0.007342231,0,0,-3.135,-3.14
0.007575677,0,0.003787839,0,-0.007575677,0,0,-3.125,-3.13
0.007815764,0,0.003907882,0,-0.007815764,0,0,-3.115,-3.12
0.008062654,0,0.004031327,0,-0.008062654,0,0,-3.105,-3.11
0.008316511,0,0.004158255,0,-0.008316511,0,0,-3.095,-3.1
0.008577502,0,0.004288751,0,-0.008577502,0,0,-3.085,-3.09
0.0088458,0,0.0044229,0,-0.0088458,0,0,-3.075,-3.08
0.009121578,0,0.004560789,0,-0.009121578,0,0,-3.065,-3.07
0.009405012,0,0.004702506,0,-0.009405012,0,0,-3.055,-3.06
0.009696285,0,0.004848142,0,-0.009696285,0,0,-3.045,-3.05
0.009995578,0,0.004997789,0,-0.009995578,0,0,-3.035,-3.04
0.010303078962692457,0,0.005151539,0,-0.010303079,0,0,-3.025,-3.03
0.010618978,0,0.005309489,0,-0.010618978,0,0,-3.015,-3.02
0.010943468332622466,0,0.005471734,0,-0.010943468,0,0,-3.005,-3.01
0.011276746560527547,0,0.005638373,0,-0.011276747,0,0,-2.995,-3
0.011619012662177115,0,0.005809506,0,-0.011619013,0,0,-2.985,-2.99
0.01197047,0,0.005985235,0,-0.01197047,0,0,-2.975,-2.98
0.012331325075262772,0,0.006165663,0,-0.012331325,0,0,-2.965,-2.97
0.012701788101939886,0,0.006350894,0,-0.012701788,0,0,-2.955,-2.96
0.013082072467195551,0,0.006541036,0,-0.013082072,0,0,-2.945,-2.95
0.013472395024799062,0,0.006736198,0,-0.013472395,0,0,-2.935,-2.94
0.013872976053607142,0,0.006936488,0,-0.013872976,0,0,-2.925,-2.93
0.014284039270340053,0,0.00714202,0,-0.014284039,0,0,-2.915,-2.92
0.014705811840994138,0,0.007352906,0,-0.014705812,0,0,-2.905,-2.91
0.015138524,0,0.007569262,0,-0.015138524,0,0,-2.895,-2.9
0.015582411012979464,0,0.007791206,0,-0.015582411,0,0,-2.885,-2.89
0.016037709,0,0.008018855,0,-0.016037709,0,0,-2.875,-2.88
0.01650466,0,0.00825233,0,-0.01650466,0,0,-2.865,-2.87
0.016983508398121638,0,0.008491754,0,-0.016983508,0,0,-2.855,-2.86
0.017474502,0,0.008737251,0,-0.017474502,0,0,-2.845,-2.85
0.017977891967483048,0,0.008988946,0,-0.017977892,0,0,-2.835,-2.84
0.018493933862369062,0,0.009246967,0,-0.018493934,0,0,-2.825,-2.83
0.019022885968796983,0,0.009511443,0,-0.019022886,0,0,-2.815,-2.82
0.019565010238753795,0,0.009782505,0,-0.01956501,0,0,-2.805,-2.81
0.020120572095195417,0,0.010060286047597709,0,-0.020120572,0,0,-2.795,-2.8
0.020689840423294126,0,0.010344920211647063,0,-0.02068984,0,0,-2.785,-2.79
0.021273087559681558,0,0.010636543779840779,0,-0.021273088,0,0,-2.775,-2.78
0.021870589,0,0.010935295,0,-0.021870589,0,0,-2.765,-2.77
0.022482625,0,0.011241312391084645,0,-0.022482625,0,0,-2.755,-2.76
0.023109477,0,0.011554738,0,-0.023109477,0,0,-2.745,-2.75
0.023751430945016007,0,0.011875715472508003,0,-0.023751431,0,0,-2.735,-2.74
0.024408777,0,0.012204388478635956,0,-0.024408777,0,0,-2.725,-2.73
0.025081807410615962,0,0.012540903705307981,0,-0.025081807,0,0,-2.715,-2.72
0.025770818321763894,0,0.012885409160881947,0,-0.025770818,0,0,-2.705,-2.71
0.026476108994647626,0,0.013238054497323813,0,-0.026476109,0,0,-2.695,-2.7
0.027197981989364434,0,0.013598990994682217,0,-0.027197982,0,0,-2.685,-2.69
0.027936743088624476,0,0.013968371544312238,0,-0.027936743,0,0,-2.675,-2.68
0.028692701261649033,0,0.014346350630824517,0,-0.028692701,0,0,-2.665,-2.67
0.029466169,0,0.014733084312735765,0,-0.029466169,0,0,-2.655,-2.66
0.030257460403594377,0,0.015128730201797188,0,-0.03025746,0,0,-2.645,-2.65
0.031066895,0,0.015533447440977614,0,-0.031066895,0,0,-2.635,-2.64
0.031894793,0,0.015947397,0,-0.031894793,0,0,-2.625,-2.63
0.03274148,0,0.01637074,0,-0.03274148,0,0,-2.615,-2.62
0.033607282312689904,0,0.016803641156344952,0,-0.033607282,0,0,-2.605,-2.61
0.03449253,0,0.017246265,0,-0.03449253,0,0,-2.595,-2.6
0.035397556,0,0.017698778013694787,0,-0.035397556,0,0,-2.585,-2.59
0.036322696,0,0.018161347980549115,0,-0.036322696,0,0,-2.575,-2.58
0.037268288,0,0.018634144,0,-0.037268288,0,0,-2.565,-2.57
0.038234673187196956,0,0.019117336593598478,0,-0.038234673,0,0,-2.555,-2.56
0.039222194742556976,0,0.019611097371278488,0,-0.039222195,0,0,-2.545,-2.55
0.040231199,0,0.020115599295533516,0,-0.040231199,0,0,-2.535,-2.54
0.041262033,0,0.020631016,0,-0.041262033,0,0,-2.525,-2.53
0.042315048,0,0.021157524,0,-0.042315048,0,0,-2.515,-2.52
0.043390598,0,0.021695299,0,-0.043390598,0,0,-2.505,-2.51
0.044489036,0,0.022244518048703286,0,-0.044489036,0,0,-2.495,-2.5
0.045610720108156026,0,0.022805360054078013,0,-0.04561072,0,0,-2.485,-2.49
0.046756008847947915,0,0.023378004423973957,0,-0.046756009,0,0,-2.475,-2.48
0.047925263111389074,0,0.023962631555694537,0,-0.047925263,0,0,-2.465,-2.47
0.049118845,0,0.024559423,0,-0.049118845,0,0,-2.455,-2.46
0.050337120094483344,0,0.025168560047241672,0,-0.05033712,0,0,-2.445,-2.45
0.051580453,0,0.025790226399255035,0,-0.051580453,0,0,-2.435,-2.44
0.052849211,0,0.026424605389592595,0,-0.052849211,0,0,-2.425,-2.43
0.054143763,0,0.027071881289496384,0,-0.054143763,0,0,-2.415,-2.42
0.055464478,0,0.027732238977156546,0,-0.055464478,0,0,-2.405,-2.41
0.056811728,0,0.028405864,0,-0.056811728,0,0,-2.395,-2.4
0.058185884,0,0.029092942,0,-0.058185884,0,0,-2.385,-2.39
0.059587318761986086,0,0.029793659380993043,0,-0.059587319,0,0,-2.375,-2.38
0.061016406,0,0.030508203,0,-0.061016406,0,0,-2.365,-2.37
0.06247352,0,0.031236759750652914,0,-0.06247352,0,0,-2.355,-2.36
0.063959034,0,0.031979517,0,-0.063959034,0,0,-2.345,-2.35
0.065473323,0,0.032736662,0,-0.065473323,0,0,-2.335,-2.34
0.067016763,0,0.033508381,0,-0.067016763,0,0,-2.325,-2.33
0.068589728,0,0.034294864,0,-0.068589728,0,0,-2.315,-2.32
0.070192592,0,0.035096296,0,-0.070192592,0,0,-2.305,-2.31
0.071825731,0,0.035912865,0,-0.071825731,0,0,-2.295,-2.3
0.073489518,0,0.036744758822829154,0,-0.073489518,0,0,-2.285,-2.29
0.075184326,0,0.037592163,0,-0.075184326,0,0,-2.275,-2.28
0.076910529,0,0.038455264,0,-0.076910529,0,0,-2.265,-2.27
0.078668497,0,0.039334248340545074,0,-0.078668497,0,0,-2.255,-2.26
0.080458601,0,0.040229301,0,-0.080458601,0,0,-2.245,-2.25
0.082281211,0,0.041140605,0,-0.082281211,0,0,-2.235,-2.24
0.084136693,0,0.042068347,0,-0.084136693,0,0,-2.225,-2.23
0.086025415,0,0.043012708,0,-0.086025415,0,0,-2.215,-2.22
0.08794774,0,0.043973870199955696,0,-0.08794774,0,0,-2.205,-2.21
0.089904031,0,0.044952015,0,-0.089904031,0,0,-2.195,-2.2
0.091894647,0,0.045947323,0,-0.091894647,0,0,-2.185,-2.19
0.093919946,0,0.046959973,0,-0.093919946,0,0,-2.175,-2.18
0.095980282,0,0.047990141,0,-0.095980282,0,0,-2.165,-2.17
0.098076009,0,0.049038004,0,-0.098076009,0,0,-2.155,-2.16
0.10020747422995271,0,0.050103737,0,-0.100207474,0,0,-2.145,-2.15
0.1023750242433144,0,0.051187512,0,-0.102375024,0,0,-2.135,-2.14
0.10457900128900145,0,0.052289500644500726,0,-0.104579001,0,0,-2.125,-2.13
0.10681974406711872,0,0.053409872,0,-0.106819744,0,0,-2.115,-2.12
0.1090975874048895,0,0.054548794,0,-0.109097587,0,0,-2.105,-2.11
0.1114128620383259,0,0.055706431,0,-0.111412862,0,0,-2.095,-2.1
0.11376589439130051,0,0.056882947195650256,0,-0.113765894,0,0,-2.085,-2.09
0.11615700635209683,0,0.058078503176048416,0,-0.116157006,0,0,-2.075,-2.08
0.11858651504752063,0,0.059293257523760315,0,-0.118586515,0,0,-2.065,-2.07
0.12105473261465788,0,0.060527366,0,-0.121054733,0,0,-2.055,-2.06
0.12356196597036799,0,0.061780982985183995,0,-0.123561966,0,0,-2.045,-2.05
0.1261085165786049,0,0.063054258,0,-0.126108517,0,0,-2.035,-2.04
0.12869468021566216,0,0.06434734,0,-0.12869468,0,0,-2.025,-2.03
0.13132074673344024,0,0.065660373,0,-0.131320747,0,0,-2.015,-2.02
0.13398699982083945,0,0.0669935,0,-0.133987,0,0,-2.005,-2.01
0.13669371676338504,0,0.068346858,0,-0.136693717,0,0,-1.995,-2
0.1394411682011941,0,0.069720584,0,-0.139441168,0,0,-1.985,-1.99
0.14222961788539534,0,0.071114809,0,-0.142229618,0,0,-1.975,-1.98
0.14505932243312156,0,0.072529661,0,-0.145059322,0,0,-1.965,-1.97
0.14793053108119072,0,0.073965266,0,-0.147930531,0,0,-1.955,-1.96
0.15084348543860243,0,0.075421743,0,-0.150843485,0,0,-1.945,-1.95
0.15379841923797288,0,0.07689921,0,-0.153798419,0,0,-1.935,-1.94
0.15679555808603965,0,0.078397779,0,-0.156795558,0,0,-1.925,-1.93
0.1598351192133699,0,0.07991756,0,-0.159835119,0,0,-1.915,-1.92
0.16291731122340516,0,0.081458656,0,-0.162917311,0,0,-1.905,-1.91
0.1660423338409855,0,0.083021167,0,-0.166042334,0,0,-1.895,-1.9
0.16921037766049143,0,0.084605189,0,-0.169210378,0,0,-1.885,-1.89
0.17242162389375282,0,0.086210812,0,-0.172421624,0,0,-1.875,-1.88
0.1756762441178686,0,0.087838122,0,-0.175676244,0,0,-1.865,-1.87
0.1789744000230932,0,0.0894872,0,-0.1789744,0,0,-1.855,-1.86
0.1823162431609379,0,0.091158122,0,-0.182316243,0,0,-1.845,-1.85
0.1857019146926505,0,0.092850957,0,-0.185701915,0,0,-1.835,-1.84
0.18913154513822547,0,0.094565773,0,-0.189131545,0,0,-1.825,-1.83
0.1926052541261133,0,0.096302627,0,-0.192605254,0,0,-1.815,-1.82
0.1961231501437874,0,0.098061575,0,-0.19612315,0,0,-1.805,-1.81
0.19968533028934102,0,0.099842665,0,-0.19968533,0,0,-1.795,-1.8
0.20329188002427875,0,0.10164594001213938,0,-0.20329188,0,0,-1.785,-1.79
0.20694287292767763,0,0.10347143646383881,0,-0.206942873,0,0,-1.775,-1.78
0.21063837045188888,0,0.10531918522594444,0,-0.21063837,0,0,-1.765,-1.77
0.21437842167995863,0,0.10718921083997932,0,-0.214378422,0,0,-1.755,-1.76
0.21816306308494188,0,0.10908153154247094,0,-0.218163063,0,0,-1.745,-1.75
0.22199231829129384,0,0.11099615914564692,0,-0.221992318,0,0,-1.735,-1.74
0.22586619783851442,0,0.11293309891925721,0,-0.225866198,0,0,-1.725,-1.73
0.2297846989472343,0,0.11489234947361715,0,-0.229784699,0,0,-1.715,-1.72
0.23374780528792163,0,0.11687390264396082,0,-0.233747805,0,0,-1.705,-1.71
0.2377554867524008,0,0.1188777433762004,0,-0.237755487,0,0,-1.695,-1.7
0.24180769922836345,0,0.12090384961418173,0,-0.241807699,0,0,-1.685,-1.69
0.24590438437706755,0,0.12295219218853377,0,-0.245904384,0,0,-1.675,-1.68
0.25004546941440664,0,0.12502273470720332,0,-0.250045469,0,0,-1.665,-1.67
0.25423086689554303,0,0.12711543344777151,0,-0.254230867,0,0,-1.655,-1.66
0.2584604745032964,0,0.1292302372516482,0,-0.258460475,0,0,-1.645,-1.65
0.26273417484047434,0,0.13136708742023717,0,-0.262734175,0,0,-1.635,-1.64
0.26705183522634335,0,0.13352591761317167,0,-0.267051835,0,0,-1.625,-1.63
0.27141330749742437,0,0.13570665374871219,0,-0.271413307,0,0,-1.615,-1.62
0.27581842781281324,0,0.13790921390640662,0,-0.275818428,0,0,-1.605,-1.61
0.28026701646420976,0,0.14013350823210488,0,-0.280267016,0,0,-1.595,-1.6
0.2847588776908549,0,0.14237943884542745,0,-0.284758878,0,0,-1.585,-1.59
0.2892937994995616,0,0.1446468997497808,0,-0.289293799,0,0,-1.575,-1.58
0.2938715534900346,0,0.1469357767450173,0,-0.293871553,0,0,-1.565,-1.57
0.2984918946856655,0,0.14924594734283275,0,-0.298491895,0,0,-1.555,-1.56
0.30315456136999824,0,0.15157728068499912,0,-0.303154561,0,0,-1.545,-1.55
0.307859275,0,0.153929637,0,-0.307859275,0,0,-1.535,-1.54
0.31260573969965544,0,0.15630286984982772,0,-0.31260574,0,0,-1.525,-1.53
0.317393643,0,0.158696821,0,-0.317393643,0,0,-1.515,-1.52
0.3222226541110666,0,0.1611113270555333,0,-0.322222654,0,0,-1.505,-1.51
0.3270924259032955,0,0.16354621295164776,0,-0.327092426,0,0,-1.495,-1.5
0.3320025929519209,0,0.16600129647596046,0,-0.332002593,0,0,-1.485,-1.49
0.33695277229782516,0,0.16847638614891258,0,-0.336952772,0,0,-1.475,-1.48
0.34194256316010574,0,0.17097128158005287,0,-0.341942563,0,0,-1.465,-1.47
0.34697154683185094,0,0.17348577341592547,0,-0.346971547,0,0,-1.455,-1.46
0.35203928658339917,0,0.17601964329169958,0,-0.352039287,0,0,-1.445,-1.45
0.3571453275732436,0,0.1785726637866218,0,-0.357145328,0,0,-1.435,-1.44
0.3622891967667556,0,0.1811445983833778,0,-0.362289197,0,0,-1.425,-1.43
0.3674704028628856,0,0.1837352014314428,0,-0.367470403,0,0,-1.415,-1.42
0.37268843622900194,0,0.18634421811450097,0,-0.372688436,0,0,-1.405,-1.41
0.37794276884402755,0,0.18897138442201378,0,-0.377942769,0,0,-1.395,-1.4
0.38323285425002196,0,0.19161642712501098,0,-0.383232854,0,0,-1.385,-1.39
0.3885581275123641,0,0.19427906375618206,0,-0.388558128,0,0,-1.375,-1.38
0.3939180051886749,0,0.19695900259433746,0,-0.393918005,0,0,-1.365,-1.37
0.39931188530662715,0,0.19965594265331357,0,-0.399311885,0,0,-1.355,-1.36
0.4047391473507726,0,0.2023695736753863,0,-0.404739147,0,0,-1.345,-1.35
0.41019915225852605,0,0.20509957612926302,0,-0.410199152,0,0,-1.335,-1.34
0.41569124242542715,0,0.20784562121271358,0,-0.415691242,0,0,-1.325,-1.33
0.421214742,0,0.2106073708599045,0,-0.421214742,0,0,-1.315,-1.32
0.42676895550698585,0,0.21338447775349292,0,-0.426768956,0,0,-1.305,-1.31
0.4323531706830792,0,0.2161765853415396,0,-0.432353171,0,0,-1.295,-1.3
0.43796665571858195,0,0.21898332785929098,0,-0.437966656,0,0,-1.285,-1.29
0.44360866071177185,0,0.22180433035588593,0,-0.443608661,0,0,-1.275,-1.28
0.4492784174520616,0,0.2246392087260308,0,-0.449278417,0,0,-1.265,-1.27
0.4549751394933848,0,0.2274875697466924,0,-0.454975139,0,0,-1.255,-1.26
0.4606980222376956,0,0.2303490111188478,0,-0.460698022,0,0,-1.245,-1.25
0.4664462430286669,0,0.23322312151433344,0,-0.466446243,0,0,-1.235,-1.24
0.47221896125565377,0,0.23610948062782688,0,-0.472218961,0,0,-1.225,-1.23
0.4780153184679959,0,0.23900765923399794,0,-0.478015318,0,0,-1.215,-1.22
0.483834438,0,0.241917219,0,-0.483834438,0,0,-1.205,-1.21
0.4896754276046351,0,0.24483771380231756,0,-0.489675428,0,0,-1.195,-1.2
0.49553737460206865,0,0.24776868730103432,0,-0.495537375,0,0,-1.185,-1.19
0.5014193510329403,0,0.25070967551647017,0,-0.501419351,0,0,-1.175,-1.18
0.5073204113265517,0,0.25366020566327585,0,-0.507320411,0,0,-1.165,-1.17
0.5132395929779094,0,0.2566197964889547,0,-0.513239593,0,0,-1.155,-1.16
0.5191759167356721,0,0.25958795836783605,0,-0.519175917,0,0,-1.145,-1.15
0.5251283868007182,0,0.2625641934003591,0,-0.525128387,0,0,-1.135,-1.14
0.5310959910353452,0,0.2655479955176726,0,-0.531095991,0,0,-1.125,-1.13
0.537077701,0,0.2685388505915445,0,-0.537077701,0,0,-1.115,-1.12
0.5430724730991613,0,0.27153623654958065,0,-0.543072473,0,0,-1.105,-1.11
0.5490792469914785,0,0.27453962349573924,0,-0.549079247,0,0,-1.095,-1.1
0.5550969476722625,0,0.27754847383613124,0,-0.555096948,0,0,-1.085,-1.09
0.5611244848201743,0,0.28056224241008715,0,-0.561124485,0,0,-1.075,-1.08
0.5671607532529445,0,0.28358037662647223,0,-0.567160753,0,0,-1.065,-1.07
0.5732046332104436,0,0.2866023166052218,0,-0.573204633,0,0,-1.055,-1.06
0.5792549906481446,0,0.2896274953240723,0,-0.579254991,0,0,-1.045,-1.05
0.5853106775409013,0,0.29265533877045063,0,-0.585310678,0,0,-1.035,-1.04
0.5913705321969812,0,0.2956852660984906,0,-0.591370532,0,0,-1.025,-1.03
0.5974333795822595,0,0.29871668979112975,0,-0.59743338,0,0,-1.015,-1.02
0.6034980316544964,0,0.3017490158272482,0,-0.603498032,0,0,-1.005,-1.01
0.6095632877075905,0,0.30478164385379525,0,-0.609563288,0,0,-0.995,-1
0.6156279347257119,0,0.30781396736285593,0,-0.615627935,0,0,-0.985,-0.99
0.6216907477471931,0,0.31084537387359656,0,-0.621690748,0,0,-0.975,-0.98
